,Year,EC votes,Votes counted,Population per EC vote,Most EC votes
0,1824,261.0,365928,1402,36.0
1,1828,261.0,1148018,4399,36.0
2,1832,288.0,1276659,4433,42.0
3,1836,294.0,1502811,5112,42.0
4,1840,294.0,2412694,8206,42.0
5,1844,275.0,2703864,9832,36.0
6,1848,290.0,2876818,9920,36.0
7,1852,296.0,3159640,10674,35.0
8,1856,296.0,4051605,13688,35.0
9,1860,303.0,4681335,15450,35.0
10,1864,233.0,4031887,17304,33.0
11,1868,294.0,5722440,19464,33.0
12,1872,366.0,6471983,17683,35.0
13,1876,369.0,8418659,22815,35.0
14,1880,369.0,9219477,24985,35.0
15,1884,401.0,10060145,25088,36.0
16,1888,401.0,11388846,28401,36.0
17,1892,444.0,12068027,27180,36.0
18,1896,447.0,13938674,31183,36.0
19,1900,447.0,13997429,31314,36.0
20,1904,476.0,13525095,28414,39.0
21,1908,483.0,14889239,30827,39.0
22,1912,531.0,15044278,28332,45.0
23,1916,531.0,18536585,34909,45.0
24,1920,531.0,26765180,50405,45.0
25,1924,531.0,29097107,54797,45.0
26,1928,531.0,36807012,69316,45.0
27,1932,531.0,39751898,74862,47.0
28,1936,531.0,45647699,85966,47.0
29,1940,531.0,49902113,93978,47.0
30,1944,531.0,47977063,90352,47.0
31,1948,531.0,48793535,91890,47.0
32,1952,531.0,61751942,116294,45.0
33,1956,531.0,62021328,116801,45.0
34,1960,537.0,68832482,128180,45.0
35,1964,538.0,70639284,131300,43.0
36,1968,538.0,73199998,136059,43.0
37,1972,538.0,77744027,144506,45.0
38,1976,538.0,81531584,151546,45.0
39,1980,538.0,86509678,160799,45.0
40,1984,538.0,92653233,172218,47.0
41,1988,538.0,91594686,170250,47.0
42,1992,538.0,104423923,194097,54.0
43,1996,538.0,96275401,178951,54.0
44,2000,538.0,105405100,195920,54.0
45,2004,538.0,122294846,227314,55.0
46,2008,538.0,131313820,244078,55.0
47,2012,538.0,129085410,239936,55.0
48,2016,538.0,136669276,254032,55.0
49,2020,538.0,158381538,294389,55.0
